time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446950000	18.741	7.05367	4.84886	0.967574	0.370578	radar	0.799588	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9214	7.23004	4.85888	0.969439	0.356318	lidar	2.79555	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0159	7.41335	4.61969	0.995966	0.365141	radar	3.79221	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1125	7.67941	4.71253	1.03802	0.385919	lidar	2.74469	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2376	7.87587	4.74077	1.05288	0.381711	radar	0.419561	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3156	8.10107	4.73587	1.08553	0.393196	lidar	1.85692	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4153	8.3108	4.79031	1.1057	0.392756	radar	2.16003	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4987	8.47302	4.67205	1.11942	0.387079	lidar	2.77723	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5974	8.66226	4.58722	1.13541	0.384541	radar	0.853782	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7427	8.86602	4.62134	1.14003	0.372483	lidar	3.64196	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8187	9.08756	4.54628	1.16776	0.381239	radar	1.79826	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9416	9.33222	4.64254	1.18382	0.379376	lidar	3.33105	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9948	9.54051	4.46166	1.21391	0.3905	radar	2.72255	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.079	9.78978	4.54621	1.23843	0.395258	lidar	1.14066	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1221	10.0908	4.76549	1.28015	0.413596	radar	20.6713	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1782	10.361	4.84341	1.3108	0.422433	lidar	0.724786	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1994	10.5874	4.66405	1.34621	0.436776	radar	3.9832	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2607	10.8635	4.77255	1.37209	0.440903	lidar	1.8823	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2723	11.1604	4.90243	1.41292	0.45718	radar	13.5466	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3121	11.3872	4.87	1.43236	0.454122	lidar	0.0957737	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
